term	def
تَنقيط	vocalization, vowelization, pointing
تَنك	tank (container)
تَنَكة	tin, can
تَنَكُّر	disguise
تَنّورة،تَنانير	skirt
تَنويع	variety, diversity
تَنويم	hypnosis
تَنوين	the ن on the ends of indefinite nouns in MSA
تَنية	fold
تْنين،تاني	two
تنيْن/تَنيْن/تِنتيْن	two
تنيْنات	both of (us/you/them)
تنيْناتنا	both of us, the two of us
تنيْناتهم	the two of them, both of them
تَهبيلة	inhalation
تَهديد	threat
تَهَرُّب	escapt, avoidance, running away, evasion
تَهريب	smuggling
تُهمة،تُهُم	accusation, charge
تَهنِئة/تَهنِيّة،تَهاني	congratulations, good wishes
تَهويد	judaisation
تَهَيُّج	ferment, agitation
تَواظُن	equilibrium, balance
تَوافُق	compatibility
تَوأَم/توم،تَوائَم	twin
تَوان	slacking, slacking off, taking one's time
توب،تياب	dress, robe, cloak, garment (esp in plural)
توبة	repentance, mending one's ways
توت	mulberries
تَوَتُّر	tension
تَؤتيب	arranging, arrangement, order
تَوَّجوها	they crowned her
تَوجيه	direction, instruction
تَوجيهي	secondary (education)
توَحَّلَت	I got covered in mud
تَوحيد	unification, monotheism
تَوديع	farewell, goodbye
تور/ثَور،تيران	bull
تَوراه/تَورات	the Torah, the Pentateuch, the old testament
تَوَرُّم	swelling
تَوزيع	division, distribution
توستَر/تُستَر	toaster (see مَحمَصة also)
تَوَسُّط	mediation
تَوَسُّعِيّة	expansionism
تَوصِية	recommendation
تَوضيح	clarification
تَوظيف	investing, investment
تَوعِية	making aware, arousing awareness
تَوفير	economy, saving
تَوفيق	success
تَوَقُّع	expectation
تَوَقُّف	stop, halt, cessation
تَوقيت	timing, time
تَوقيع	signature, signing (more formal)
تَوقيف	stopping, arrest
تَوقيف،تَوقِيفَات	arrest, suspension
تَوليد	procreation, generating, generation, midwifery
توم	garlic
توم،توام	twins
تى	short form for حَتّى
تَيّار	current (water, electricity), draft (air), trend
تيْتا	grandmother, gran, granny, nan
تيْس،تيوس	billy goat, male goat, idiot, fool, stupid
تَيسَنة	stupidity, foolishness
تينة،تين،تينات	fig(s)
تيوب	inner tube (from english)
ثابَت	fixed, firm, steady, permanent, stable
ثالوث	trinity
ثانِيّاً	secondly
ثانِية،ثَواني	a second
ثائَر،ثُوّار	rebel, revolutionary
ثَدي،ثَديان	breast
ثَروة	fortune, wealth, riches
ثَقافة	culture, education, civilization
ثَقافي	cultural, educational
ثِقة	trust, confidence, faith, belief
ثَورة	revolution
ثَورَوي/ثَوَرجي	(a) revolutionary
جاج	chickens, fowl
جاجة	a chicken, tin, can
جار،جيران	neighbor
جار،جيران	neighbor
جارَح،جارحة	hurtful, wounding
جارَد	locusts (coll)
جارور،جَوارير	drawer (in Galilee, Lebanon, Syria)
جارور\جَرّار،جَوارير	drawer
جاروشة،جَواريش	millstones, handmill
جاري	current, active, valid
جاسوس،جَواسيس	spy
جاط	large bowl
جاعَد،جَواعَد	sheepskin
جافّ	dry
جاكَيت	jacket
جامَد	frozen, thick, hard, solid
جامَع،جَوامَع	mosque
جامِعة	university, league(?)
جامْعة،جامِعات	university
جامِعي	university (adj)
جانَب،جَوانَب	side, aspect
جاهة	deputation, delegation
جاهَز	ready
جاهَل،جُهّال	lacking knowledge, ignorant, reckless
جاي	coming, approaching, drawing near, next, fitting
جاي،جاي\جاية،جايين	coming
جايّة	arrival, coming (noun)
جائَز	possible, permissible, allowed
جائَز،جائزة	possible
جايزة/جائِزة،جَوائِز	prize, award
جَبّار	tyrannical, cruel, powerful, heroic, hero
جَبّالة	cement mixer, concrete mixer
جَبان	cowardly, coward
جَبّانة	cemetery
جِباية	levying
جُبّة،جُبَب	men's long outer garment, open in front, with wide sleeves
جَبري	enforced
جَبصين	plaster (cast)
جَبَل،جبال	mountain, hill
جَبَل،جْبال	mountain
جَبلة	portion of concrete
جُبُن	cowardice
جِبن،أَجبان	cheese
جِبنة	cheese
جَبهة	front, forehead
جبين	forehead
جُثّة/جِتّة/جِسّة،جُثَث/جُتَت/جُسَس	dead body, corpse
جَحش،جحاش/جحوش	donkey, young donkey, trestle (carpenter's tool)
جَخّة	style-consciousness, clothes-consciousness, showing off
جَخّيخ	clothes-conscious, style-conscious, showoffy
جَدّ	seriousness, earnestness
جِدّ،جدود	grandfather
جِدّاً	seriously, very
جداد	olive harvest (in some areas)
جِدار،جِدران	wall, fence
جِدال	argument, discussion
جِدّة،جدّات	grandmother
جَدَري/جِدري	smallpox
جَدوَل،جَداوَل	chart, table, list
جِدّي	serious
جَدي،جِديان	young goat
جِدِّيّة	seriousness, earnestness
جديد،جداد/جُدُد	new
جْديد،جْديدة،جْداد\جُدُد	new
جديلة،جدايَل	braid, plait
جَذر/جَزر،جُذور/جُزور	root
جَذري/جَزري	radical
جَرّ	pulling, traction
جُرءة	courage, boldness, daring
جَرّاح	surgeon
جِراحة	surgery
جَرادة	a locust
جَرّار،جَوارير	drawer (in Jerusalem), shutter, zip, zipper
جَرّار،جَوارير	shutter (of a shop)
جَرّافة	bulldozer
جَرائة	courage
جُربان،جَرابين	sock (in some areas)
جَرّة،جرار/جَرّات	jug, pitcher
جُرْثومة،جَراثيم	germ
جُرثومة/جُرسومة،جَراثيم/جَراسيم	microbe, germ
جُرح،جروح	wound, injury
جِرِح،جُروح	wound
جَرد	inventory, stocktaking
جَردون،جَرادين	rat
جَرزة/جَرسة/جَرسِيّة/جَرزاي،جَرازي/جَراسي	sweater, jumper (from English)
جَرَس،أجْراس	bell
جَرَس/جَرَص،أجراس/أَجراص	bell
جَرَسِيّات	bell tower
جُرعة،جُرَع	sip, gulp, mouthful (of liquid), dose (of medicine, an inoculation)
جُرن،جران/جرانة	mortar (basin in which things are ground)
جَرَنك	small sourish red or green plums (not much bigger than cherries)
جَرو،جراو/جِراء	puppy, cub
جَريح،جَرحى	wounded, injured
جَريدة،جَرايَد	newspaper
جَريدة،جَرايِد	newspaper
جَريمة،جَرايَم	crime
جَريئ،جَريئة	corageous, brave, resolute
جُزء،أَجزاء	part, volume of a book
جَزاء	punishment, penalty, fine, reward
جَزّاب	attractive
جَزائِري	Algerian
جَزِبِيّة	force of gravity, power of attraction, attractiveness
جُزْدان	purse
جُزدان،جَزادين	wallet, purse
جَزَر	carrots (coll)
جَزَرة	a carrot
جَزمة	a pair of boots
جَزيرة،جُزُر/جَزائَر	island
جُزئي	partial
جُزئياً	partially
جِسر،جسورة	bridge
جِسم،أَجسام	body, object
جِسمي	bodily
جُغرافيا	geography
جَفاصة	rudeness
جِفت،جفوتة	double barrelled hunting rifle, olive waste leftovers
جِفَش	rude, uncivil, abrupt
جِفن،جفون	eyelid
جَلّاية	dishwasher (machine)
جَلخ	sharpening, whetting, honing
جِلد،جلود	leather, skin
جِلدة	piece of leather
جِلْدة،جِلْد\جِلدات	leather
جِلدي	skin (adj)
جَلسة	meeting, a sitting (of a committee, council, etc)
جَلطة	blood clot, thrombosis
جَلي	washing up (dishes), polishing
جَليد	ice. تَلج more common
جَليسة	babysitter
جَليل	Galilee
جَماد	solid (noun)
جَماعة	group, band, gang (of friends)
جَماعَة،جَماعات	group, gang
جَماعي	collective, group-(adj), mass-(adj)
جَمال	beauty
جَمّال	camel driver
جَمب	side, beside
جُمجُمة،جُماجَم	skull
جَمر	embers, live coals
جَمرة	an ember, a live coal
جُمرُك	customs duty, custome house
جَمع	gathering, addition, plural
جُمعة،جُمَع	week, friday
جُمْعة،أُسْبوع	week
جَمعِيّة	association, club, organization
جَمَل،جمال،	camel
جُملة،جُمَل	sentence, totality, whole
جُملة،جُمَل	sentence
جُمهور،جَماهير	crowd, public
جُمهورِيّة	republic
جُمود	frozen state, deadlock
جَميع	all
جَميل	favor
جَميل	beautiful
جميلة	a favor
جِنّ	jinn (coll)
جَناح،جَنَاحات/جُنحان	wing (of bird, place, etc), wing, fender (of car)
جِنّاز،جَنانيز	funeral service, funeral rites, burial prayers (christian?)
جَنازة	funeral procession
جَنب	side
جَنْب،حَدّ	beside
جَنّة	paradise
جُندي	pawn (chess)
جُندي،جنود	soldier
جِنزار	verdigris (????)
جَنزبيل	ginger
جَنزير،جَنازير	chain (of medium to heavy thickness)
جِنس،أَجناس	species, type, kind, sex, gender
جِنسي	sexual
جِنسِيّاً	sexually
جِنسِيّة	nationality, sexuality
جُنفَيص	jute (???)
جنون	insanity, madness
جَنين،أَجِنّة	fetus
جْنينة،جَنَاْيِن	garden
جِهاد	(holy) effort
جِهاز،أَجهِزة	appliance, device, system, apparatus, equipment, gear
جِهة،جِهات	side, direction
جَهجَهون،عالجَهجَهون	aimlessly, haphazardly, at random
جُهد/جَهد،جهود	effort
جَهِد\جُهُد،جُهود	effort
جَهل	ignorance, foolishness, carelessness, recklessness
جَهَنَّم	hell
جَوّ،أَجواء	air, atmosphere, weather, climate
جَوّ،أجْوا	weather
جَواب،أَجوِبة	answer
جَواب،أجوِبة	answer
جَوّات	inside
جَواز	marriage
جَوافا	guavas (coll)
جَوّال	itinerant, travelling, wandering, portable, mobile, mobile phone
جِوّاني	inner
جِوّة	inside, indoors
جُوّة،جُوّات	inside
جودة	quality
جورة،جوار	hole (in the ground), pit, pothole
جوز	nuts (coll)
جوز،جواز	pair, husband
جوز،جْوَاز	husband
جوزة	one nut
جوع	hunger
جوعان	hungry
جَوف	cavity, depression (geo?)
جَوفي	inner, subterranean, underground
جَوق/جَوقة،أَجواق/جَوقات	choir, band, orchestra
جَولة	tour, excursion, round
جَوهَر	essence, principle
جَوهَرة،جَواهَر	jewel, precious stone
جَوهَري	essential
جِوّي	domestic, tame
جَوّي	air-(adj), atmospheric, meteorological
جي	suffix borrowed from Turkish to form professions or character traits
جَيب،جُيوب	nasal cavity / sinus
جَيب/جَيبة،جياب/جِياب	pocket
جَيَّد	good
جيرة	neighborliness
جيزة	marriage
جَيش،جيوش	army, soldiers
جيش،جْيوش	military, forces, army
جيل	generation, age
جين	gene
جَينة	coming, arrival
حابِب،حابّة،حابّين	loves
حاجّ،حُجّاج	pilgrim, old person
حاجَب،حَواجَب	eyebrow
حاجة	need, object, matter, stop! enough!
حاجَز،حَواجَز	roadblock, barrier, checkpoint
حاجِيّة	commodities, necessities
حاخام،حاخامِيّة،حاخامين	rabbi
حاد	sharp, vehement, acute
حادِث،حَوادِث	accident
حادَد/حادّة،حادّين	in mourning
حادَس/حادَث،حَوادَس/حَوادَث	event, incident, accident, mishap
حارّ	hot, warm, spicy
حارة	neighborhood, quarter
حارة،حَارَات	neighborhood
حازَم	resolute, determined, firm, drastic
حازوقة	hiccups
حاسّة،حَواسّ	sense
حاسِس،حاسّة،حاسّين	feeling
حاسَم/حاسمة	decisive
حاسوب،حَواسيب	computer
حاشِية،حَواشي	border, margin, marginal note, footnote, entourage, retinue
حاصَل	happening, outcome
حاضَر	present (now and here), ready, prepared
حاطِط،حاطّة،حاطّين	having put, having placed
حافَظ،حافظة،حافظين	guardian, keeper, one who has something (usually the Qur'an) memorized
حافي	barefoot
حاكورة،حَواكير	garden, yard, vegetable garden
حَاكُوْرَة،،حَوَاكِيْر	vegetable plot
حال	condition, self
حال،أَحوال	state, case, condition, instance, self
حالاً	immediately, at once
حالة	situation, condition, case
حالَق،حالقين	clean shaven, having shaved, having a haircut
حالِق،حالْقة،حالْقين	shaved
حالي	present (now)
حامَض/حامُض/حامضة،أَحماض/حَوامَض	sour, (in some areas) lemon, acid (noun or adj)
حامَل/حاملة،حاملين/حاملات/حَوامَل	carrying, pregnant
حامي	very hot, like iron or oil
حامي	protector, guard
حاوُوظ،حَواويظ	large water tank
حاوية	container
حايَك،حُيّاك	weaver
حَبّ	seed, grains
حُبّ	love
حَبّة،حبوب	grain, seed, berry, anything small and round, an individual item of fruit, veg, etc, pill, tablet, pimple, pustule
حَبّة،حُبوب	grain, pill, lozenge, tablet
حِبر	ink
حَبس	prison, jail
حَبَشي،حَبَش/أَحباش	Ethiopian
حَبل،أْحبال	rope
حَبْل،أحْبال	rope
حَبلة	rope, piece of rope
حَبَلة	terrace
حَبّوب	nice, pleasant, likable
حَبيب،حَبايَب	dear, beloved, sweetheart, boyfriend, girlfriend
حَتّى	until, as far as, up to, even, so that
حَجّ	pilgrimage (esp. the one to Mecca)
حِجاب،أَحجِبة،حُجُب	hijab, amulet
حجارة	pile of stones
حُجّة،حِجاج	pretext, grounds
حَجَر،أَحجار	stone, chesspiece
حَجَز	confiscation, siezure, impoundment, reservation
حَجَل	partridges (coll)
حَجَلة	partridge
حَجم،أَحجام	volume, size, capacity
حَدّ	anyone, someone
حَدّ،أْحدود	(alternative form of أَحَد) Sunday
حَد،حدود	limit, border
حَدا	anyone, someone
حداد	mourning
حَدّاد	blacksmith, locksmith
حدادة	ironmaking, smithery, smithing, the work of a blacksmith
حَداقة	wit, astuteness
حِدّة	sharpness, violence
حَدَث/حَدَس،أَحداث/أَحداس	young man, youth, event, occurrence
حِدَق	clever, sharp
حديث	conversation
حَديد	iron
حَديدة،حَدايَد	iron bar, piece of iron
حَديدة،حَديد	iron
حَديقة،حَدائَق	garden, park
حَرّ	heat
حُرّ	free
حُرّ،أَحرار	free
حُرّ،أحْرار	freedom
حَرارة	heat, warmth, fever, rash (on the skin)
حَراسة	guarding, guard
حَرام	forbidden, unlawful, illicit, taboo, shame, sacred (and inviolable), holy, sacrosanct
حَرامي،حَرامِيّة	thief, burglar
حَرامي،حَراميّة،حَراميين	thief
حَرب،حروب	war (f)
حَرب،حُرُوْب	war
حِرباية	chameleon
حَرت/حَرث	ploughing
حَرَج	distress, problem, difficult situation
حَردان	in a temper, sulky, sulking
حِردَبّة	camel hump
حَردون،حَرادين	agama (type of lizard)
حَرزان	worthwhile
حَرَس	guard, watch
حُرش،أَحراش	forest, wood
حَرف،أَحراف/حُروف	letter (of the alphabet)
حَرْف،حْرُوف\أحْرُف	letter of the alphabet
حِرفة	craft, trade, skill
حَرفي	literal
حَرفِيّاً	literally
حُرق،حروق	burn
حَرَكة	movement (political or physical), gesture, vowel
حَرَم	holy, sacred, sacrosanct, sanctum, holy place, wife (among Muslims)
حُرمة	sanctity, wife (among Muslims)
حُرِيّة	freedom
حَرير	silk
حَرّيف	expert, master
حَريق	fire, blaze
حَريقة،حَرايَق/حَرائَق	fire, blaze, conflagration
حَريقة،حَرَاْيِق	fire blaze
حَريم	women (the women of the family, among Muslims)
حَزّ،حزوز	segment, slice
حِزام،أَحزِمة	belt
حِزب الكَتائَب	the Phalangist Party (in Lebanon)
حِزب،أَحزاب	political party
حِزبي	(political) party (adj)
حِزِر،حْزُوْرَة	guess, assumption
حَزَر/حَذَر	caution, wariness
حُزم	sadness, unhappiness, grief, mourning
حِزمة،حُزام	bundle
حَزنان	sad, grieving, in mourning
حَزيران	June
حُزَّيرة،حَزازير	riddle
حُزّيرة،حَزارير	riddle
حَزين،حَزانا	sad
حِسّ	voice
حساب	arithmetic, calculation, bill, account, reckoning
حْساب،حْسابات	bill, account
حَسّاس	sensitive
حَسّاسِيّة	sensitivity, allergy
حَسَب	according to
حَسَد	envy
حَسرة	grief, sigh of grief
حَسَك	fishbones (coll)
حَسَكة	fishbone
حُسن	goodness
حَسَن،حِسان	good
حَسَنة	charity, advantage
حَسنة،أَبو حَسنة	Don Juan
حَسود،حُسّاد	envious
حسَيني	fox
حَشّاش	drug addict
حَشرة	crowding, crowd
حَشَرة	insect
حَشوة	stuffing, filling, tooth filling
حَشّور	nosy, prying
حَشيش	grasses, weeds, herbs, hashish, cannabis
حَشيشة	herb, blade of grass
حَصّاد	reaper, harvester (person)
حَصّادة	harvester, mowing machine
حِصار	siege, blockade
حصان	knight (chess)
حصان،حصونة/حُصُن	horse
حْصان،حْصُوْنِة\حُصُن	horse
حَصبة	measles
حُصّة،حُصَص	portion, share, lesson, class period
حَصر	blocking, retention
حَصرة	anguish
حَصوة	small stone, pebble, gravel
حَصيدة	harvest
حَصيرة	mat
حُضّ،أَحواض	basin, dock
حَضارة	civilization, culture
حَضاري	civilized
حَضانة	childcare, care of young children
حَضرة،حَضَرات	presence, sir/madan
حُضُن،أَحضان	breast, bosom, lip
حُضور	presence
حَطَب	firewood
حَطّة	keffiyeh
حَظّ	luck
حَفّاية	(pair of) slippers
حِفّة	side, edge, bank
حَفَرِيّات	excavations
حَفلة	ceremony, gathering, assembly, party, celebration
حَفْلة،حَفلات	party
حَفيد،أَحفاد	grandson
حَقّ	truth
حَقّ،حقوق	justice, truth, rightness, right (one's due), price, value
حَقل،حُقول	field (a grassy field), field (figurative), domain, sphere, realm
حُقنة،حُقَن	enema
حَقيقة،حَقايَق/حَقائَق	truth, fact
حَقيقي	true, real, authentic
حَكَم	referee (sport)
حُكم،أَحكام	judgement, verdict, sentence, rule, regime
حِكمة	wisdom, medicine
حُكومة	government
حُكومي	governmental
حَكوَجي	talkative
حَكي	speech, talk, way of speaking
حَكيم،حُكَماء	wise, wise person, doctor, physician
حَكيم،حَكيمة	sage
حَلّ،حُلول	solution
حَلّاق	barber
حَلّاق،حَلّاقة،حَلّاقين	hairdresser
حلاقة	haircut, shave
حَلال	permissible, possible, lawful
حَلالْ	mixed herd (of different animals)
حَلّان،حَلالين	terrace
حَلاوة	charm, refinement, sweetness, halva (a sweet made of sesame and honey)
حَلَب	Aleppo (city in Syria)
حَلبة	arena, track
حَلّة	(in some areas) the end of the work/school day
حِلّة،حِلَل	large pot, saucepan
حلرَس،حُرّاس	guard, sentry, watchman, custodian
حَلَزون	snails
حَلَزونة	a snail
حَلق	throat
حَلقْ	frame
حَلقة/حَلَقة،حَلَقات/حَلَق	circle, ring, earring, link, episode
حِلم،أَحلام	dream
حِلو	sweet, beautiful, nice
حِلو،حِلْوة،حِلْوين	beautiful
حَلَواني/حَلَوانجي/بَيّاع حَلوِيّات	confectioner, baker
حِلوِيّات	sweets, confectionary
حَلِيّاً	at present, at the moment
حَليب	milk
حلَيوى	handsome, good looking, good looker
حَمّ	heat
حَما/حَماي،حَمَوات	mother in law
حْمار	donkey
حمار،حَمير	donkey, ass
حَماس	enthusiasm, zeal, fervour
حَمّال	porter
حَمّالة	stretcher, luggage rack
حَمام	doves, pidgeons (coll.)
حَمامة	one dove/pidgeon
حِماية	defense, protection, protective window bars
حَمائَم	doves, pidgeons
حِمّة	fever
حَمد	praise
حُمرة	lipstick
حُمُّص	hummus, chickpeas
حَمضِيّات	citrus fruit
حَمل	carrying, pregnancy
حَمَل	ram, Aries (constellation)
حِمل	burden, load
حَملة	campaign, attack, offensive
حَمو	father in law
حُمودة	sourness, acidity
حمولة	cargo
حَمولة،حَمايَل/حَمائَل	extended family, relatives, clan
حَميد	praiseworthy
حَنان	love, affection (particularly maternal)
حَنبَلي	Hanabali
حِنّة	henna
حَنطور	horse-drawn carriage/cab
حَنَفي	Hanafi
حَنَفِيّة	tap, faucet
حَنَك	jaw
حَنون	conpassionate, tenderhearted
حَنّون	anemone
حَنين	longing, nostalgia
حَوادَس الْطُّرُق	road accidents
حِوار	discussion, conversation
حَوالا،حَوَلَي	round, about, around
حَوالَي	round, around
حوت،أَحوات،حيتان	fish, whale
حورة،حور	poplar
حورِيّة	attractive young woman, woman's first name, virgin in heaven
حوسة	fried onion
حوش،حواش	courtyard
حَوَل	squint
حَول	round, around, might, power, strength
حَول	around
حَيّ،أَحياء	living, alive
حَيّ،أَحياء	neighborhood, district, quarter
حَياء	shyness, modesty
حَياة	life, lifetime, late (dead)
حِياد	neutrality
حِيادي	neutral
حَياوي	vital, lively
حَياوِيّة	vitality
حَيّة،حَيايا	snake
حَيران	confused, disconcerted, embarrassed
حيرة	confusion, embarrassment
حَيط،حيطان	wall
حيط،حِيطَان	wall
حَيفا	Haifa
حَيفاوي،حَيافنة	person from Haifa
حَيل	strength, force
حيلة،حِيال	trick, ruse
حَيَّللّٰه	doesn't matter which ("may God sustain (them both)")
حين،أَحيان	time
حَيوان	animal
خاتَم،خَواتَم	ring (for the finger)
خارَج	outside, abroad
خارِجي	external, outside
خارطة،خارطات	map
خازوق،خَوازيق	disaster, calamity (originally a stake used to impale people)
خاصّ	special, particular, specific
خاصّ\خُصوصي	special
خاصّةً	especially, mainly
خاصرة،خَواصَر	hip, waist
خاطَب	engaged
خاطَر،خَواطَر	thought, mood, desire, inclination
خاطِرج خَوَاطِر	desire
خاطَئ/خاطِئة،خاطئين	sinner, mistaken, wrong
خال،خوال	maternal uncle
خَال،خْوَال	maternal uncle
خالة	maternal aunt
خَالة،خالات	maternal aunt
خالَص	completed, ready, finished
خالَق	creator
خالي	empty, free of, devoid of
خام	raw, unprocessed
خامَس	fifth
خامَل	sluggish, listless, apathetic, phlegmatic
خانة	square (on paper, on a chessboard), digit (number)
خانَق	suffocating, asphyxiating (adj)
خايَب	disappointed
خايَف	afraid
خايِف،خايِفة،خايِفين	fearful
خائَن،خَوَن/خَوَناء	traitor, deciever
خَبّاز،خَبّازة/خَبّازين	baker
خَبّازة	toaster
خَبَر،أَخبار	information, news, announcement, message
خَبَر،أخبار	news
خِبرة	experience, skill, expertise
خُبز	bread
خُبزة	a piece of bread
خُبْزة،خُبْز	bread
خَبصة	sticky mud, mire, mess, fiasco
خَبير،خُبَراء	expert, specialist
خَبير،خُبَرا	expert
خُبَّيزة	mallow
خَتيار،خَتيارِيّة	old man
خِتيار،خِتياريّة،خِتيارين	old (person)
خَجَل	embarrassment, shame, shyness
خَجلان	ashamed, embarrassed
خَجول	shy, bashful (by nature)
خَدّ،خدود	cheek
خَدّام	servant
خَدران	numb
خَدش،خدوش	scratch
خِدمة،خِدَمات	help, service
خِدْمة،خَدَمات	service
خَراب	destruction, debris, ruins
خَرابة	ruin / ruins
خَرّاسة	stapler
خَرّاط	turner (profession), braggart
خُرافة	legend, superstition, old wives' tale
خَرّامة	hole puncher
خَربان	broken, damaged, spoiled, out of order
خَربان،خَربانة،خَربانين	no good
خَرة	shit
خُرج	saddlebag
خَردَل	mustard
خَرَز	beads (coll)
خَرزة	a bead
خَرَس	muteness, dumbness
خَرطوم،خَراطيم	elephant's trunk, hose, capital of Sudan
خِرقة،خِرَق	cloth, duster
خُرم،خروم	hole, aperture (ONLY a hole going all the way through something)
خروج	stools (feces)
خروج	the act(ion) of going out
خَروف،خَرفان	sheep
خَرّيج	graduate
خَريطة،خَرايَط/خَرائَط	map
خَزّاقة	punch (hole), hole puncher
خَزّان	tank, boiler, reservoir
خَزانة حَديد،خَزايَن حَديد	safe (iron coffer)
خَزانة،خَزايَن	cupboard, closet, wardrobe
خَزانة،خَزَايِن	closet
خُزق،خزوق/خِزواق	hole (which goes all the way through)
خَسّ	lettuce (coll)
خسارة،خَسائَر	loss, damage
خَسّة	a lettuce
خَسران	loser, one who has incurred a loss
خَشّب،أَخشاب	wood
خَشَبة	a piece of wood
خَشْبة،خَشَب	wood
خُشّة،خُشَش	hut, shed
خُشم	nose
خِشَن،خشان	coarse, rough, harsh
خُشونة	roughness, coarseness
خِصَب	fertile
خَصر	waist, hips
خُصلة	tuft, lock (of hair)
خَصم،خُصوم	adversary, opponent, enemy, discount, reduction (in price)
خَصمِيّة	discount (in some areas)
خَصوة	testicles
خُصوص	matter, regard
خُصوصاً	especially, mainly
خُصوصي	special, personal, private
خَصيصة،خَصائَص	characteristic, property, feature
خُضراء	vegetables (fem. sing. coll. noun)
خُضراء/خُضَرجي	vegetables / greengrocer
خُضْرة،خُضار	vegetable
خُضْرة،خُضَر\خُضراوات	vegetable
خُضَرجي،خُضَرجِيّة	greengrocer
خُضَرْجي،خُضَرْجِيّة	greengrocer
خضَيرة،الخضَيرة	Hadera, a town near the Palestinian coast, halfway between حَيفا and تل ابيب)x
خَطّ،خطوط	line, track, handwriting
خَطَأ،أَخطَاء	mistake
خَطاء،أَخطاء	mistake, error
خِطاب	speech
خَطّاط	calligrapher
خُطّة،خُطَط	plan
خَطَر	danger
خَطَر،أَخطار	danger
خِطَر،خِطرة	dangerous
خَطرة،خَطرات	time (a single instance) (in some areas)
خَطم/خِطم،ختومة/خُتومات	(official) stamp, seal
خَطوة،خَطَوات	step
خُطورة	seriousness
خَطيب،خُطَباء	speaker, lecturer, preacher, fiance, suitor
خَطِيّة،خَطايا	sin
خَطير	serious, important, grave
خَفّاش،خَفافيش	bat (animal)
خَفّاقة،خَفّاقة بيض	eggbeater, whisk
خِفّة	lightness, agility
خَفَقان	palpitating, palpitations
خِفية	hiddenness, secrecy
خَفيف،خفاف	light, slight
خَفيف،خَفيفة،خْفاف	light weight
خَلّ	vinegar
خَلّاط	mixer, blender
خَلّاطة	cement mixer, concrete mixer
خَلاعة	moral depravity
خِلاف،خِلافات	disagreement, dispute, controversy, difference of opinion
خِلافة،خِلافات	succession, caliphate
خِلال	through, in, within, in the course of, during
خِلخال،خَلاخيل	anklet
خَلفي	back, rear (adj)
خَلفِيّة	background, context
خَلق	(the act of) creation, (the) creation
خَلقان	born
خَلَل	defect, fault, hitch
خلُند	mole (animal)
خلُوْ	emptying
خِلوة	solitude, place of retirement, Druze house of prayer
خُلود	eternity, immortality
خَلَوي	cellular, mobile phone
خَلِيّة،خَلايا	cell
خَليج،خُلجان	bay, gulf
خَليط	mixture, alloy
خَليفة	successor
خَليفة،خُلَفاء	caliph, successor
خَليقة،خَلائَق	creation, creature
خَليل	friend
خَليلي،خَلايلة	person from Hebron
خُمّ،خمام	chicken coop, henhouse
خَمر	wine
خَمس	five (for before a noun)
خُمس،أَخماس	(one) fifth
خَمسة	five (when the number stands alone
خَمسة،خَمْس،خامِس	five
خَمست	five (before a small number of specific nouns)
خَمستَعشر	fifteen (when the number stands alone)
خَمسين	fifty
خُمل	thicknes
خُمْل،خُمْلة	thickness (flat)
خَميرة	yeast, leaven
خميل	thick
خميل،خمال	thick
خْميل،خْميلة،خْمال	thick (flat)
خُنّاق،أَبو خُنّاق	diphtheria
خناقة	quarrel, fight, row
خَنجَر،خَناجَر	dagger
خَندَق،خَنادَق	ditch, trench
خَنزير،خَنازير	pig
خَنصَر	little finger, pinkie
خُنطة	hermaphrodite
خُنفُسة،خَنافَس	beetle
خُنْفُسِة\خُنِسْفِة،خَنَافِس	beetle
خَنوق	diphtheria
خوخ	plums, peaches (usage varies by region)
خُوْد،خوْدي،خوْدو	take
خورُس	(church) choir (from Greek)
خوري،خَوارنة	priest, parson, vicar
خوف	fear
خَوّيف	coward, cowardly, fearful
خيار	cucumbers (coll.)
خِيار	choice, option
خَيّاط	tailor, dressmaker, seamstress
خَيّاط،خَيّاطة،خَيّاطين	tailor
خِياطة	sewing, dressmaking, tailoring, needlework
خَيال	imagination, shadow, silhouette
خَيالي	imaginary
خَيبة،خَيبة أَمَل	disappointment
خَير	goodness, good, better
خَيش	jute
خَيط،خيطان/خيوط	thread, cord
خيط،خيطان	string
خَيمة	tent
خَيمة،خيام	tent
خَيى	brother, friend, mate, buddy
خَيّي،خَيّة	my brother, my friend
داخَل	inside, interior
دار،دور/دِيار	house, home
دارَج	ordinary, usual, common
داشَر،داشرة	abandoned
داعي	reason, necessity, need
دافَع،دَوافَع	motive
دافي	warm
دالية،دَوالي	vine
دامي،دامِيّة	bloody
دان،دِنَين	ear
دان،دِنْتين،دْنين	ear
داهية،دَواهي	disaster, calamity
داية	midwife (more common)
دايَر	round (prep), around
دايَر،دايرة،دايرين	revolving, roaming, travelling around, looking for, thinking about, preoccupied with
دايِر،دايِرة،دايِرين	being careful (act)
دائِرة/دايرة،دَوائَر	circle, office, department
دائَم/دايَم	lasting, constant, perpetual
دايْمّا	always
دايمة	an expression of gratitude addressed to one's host after drinking coffee of concluding a meal
دَبّ،دباب/دَبَبة	bear
دَبّابة	tank (military), bracelet composed of flattened links
دُبّار	solution, way out
دَبّاغ	tanner (leather)
دباغة	tanning (leather)
دُبّان	flies
دُبّانة	a fly
دَبَسة	thick stick
دَبش	large rock, stones or rocks the size of a fist or larger
دَبلان	wilted, withered
