past	pres	form	def
تبَضَّع	يِتبَضَّع	5	to go shopping, buy goods
تبَطَّح	يِتبَطَّح	5	to lie down flat, lie on one's stomach
تَبَع	يِتبَع	1	to follow, track, trail, pursue, to depend on, be a question of, to follow, stick by
تَبَّل	يتَبَّل	2	to season, to spice (بَهَّر more common)
تبَنّى	يِتبَنّى	5	to adopt
تبَهدَل	يِتبَهدَل		to be humiliated, be insulted, be despised
تبَيَّن	يِتبَيَّن	5	to emerge, become clear, become obvious
تتأَلَّم	يِتتأَلَّم		to get blunt
تتاكَل	يِتّاكَل	6	to be eaten, be edible
تتاوَب	يِتتاوَب	6	to yawn
تجادَل	يِتجادَل	6	to argue with each other
تجاهَل	يِتجاهَل	6	to ignore, disregard, refuse to acknowledge, give the cold shoulder
تجاوَز	يِتجاوَز	6	to go beyond, overstep, overtake
تجَبَّد	يِتجَبَّد	5	to stretch, stretch oneself
تجَدَّد	يِتجَدَّد	5	to be renewed
تجَسَّس	يِتجَسَّس	5	to spy
تجَعلَك	يِتجَعلَك		to wrinkle, crease
تجَمَّع	يِتجَمَّع	5	to congregate, gather together, assemble
تجَنَّب	يِتجَنَّب	5	to avoid, keep away from
تجَنَّد	يِتجَنَّد	5	to enlist, be conscripted, be drafted
تجَوَّز	يِتجَوَّز	5	to get married, to marry
تجَوَّل	يِتجَوَّل	5	to tour walk/travel around, roam, wander
تحابَب	يِتحابَب	6	to love each other
تحانَق	يِتحانَق	6	to quarrel, have a fight, strangle each other
تحَدَّث	يِتحَدَّث	5	to talk, chat, carry on a conversation
تَحَدَّث	يتحَدَّث		to converse, to chat, to talk
تحَدّى	يِتحَدّى	5	to provoke, to challenge
تحَرَّر	يِتحَرَّر	5	to free oneself, mecome free
تحَرَّك	يِتحَرَّك	5	to move (intrans)
تحَركَش	يِتحَركَش		to provoke, annoy, bother, bug, to poke, prod
تحَسَّر	يِتحَسَّر	5	to feel nostalgia, to sigh for, sigh over, lament
تحَسَّس	يِتحَسَّس	5	to grope (yo way in the dark)
تحَسَّن	يِتحَسَّن	5	to improve (intrans)
تحَطَّم	يِتحَطَّم	5	to get smashed up, break up, fall apart
تحَفَّظ	يِتحَفَّظ	5	to be wary, be cautious, to have reservations
تحَقَّق	يِتحَقَّق	5	to come true, be shown to be true, be proved true, to verify, confirm, make sure, check
تحَكَّم	يِتحَكَّم	5	to be treated, to control
تحَمَّر	يِتحَمَّر	5	to become red, to be well-done (meat), to put on lipstick
تحَمَّس	يِتحَمَّس	5	to get enthusiastic, become excited
تحَمَّل	يِتحَمَّل	5	to bear, stand
تحَمَّم	يِتحَمَّم	5	to bathe (intrans)
تحَنّى	يِتحَنّى	5	to henna one's hair, to decorate oneself with henna
تحَوَّل	يِتحَوَّل	5	to become, turn into, be transferred
تحَيَّر	يِتحَيَّر	5	to be/become embarrassed, to be at a loss, have no idea
تحَيَّز	يِتحَيَّز	5	to side with, favor, take sides
تخاصَم	يِتخاصَم	6	to be in conflict with each other, be rivals
تخَبّى	يِتخَبّى	5	to hide (intrans), hide oneself
تخَربَط	يِتخَربَط		to become confused, get mixed up
تخَرَّج	يِتخَرَّج	5	to graduate
تخَرَّف	يِتخَرَّف	5	to talk to each other, chat, tell each other stories
تخَصَّص	يِتخَصَّص	5	to specialize
تخَلخَل	يِتخَلخَل		to be shaky, be wobbly
تخَلَّص	يِتخَلَّص	5	to get rid of, rid oneself, free oneself
تخَوَّت	يِتخَوَّف	5	to be fearful, be apprehensive, be scared, be afraid
تخَوَّت	يِتخَوَّت	5	to fool around, horse around, joke around
تخَيَّل	يِتخَيَّل	5	to imagine, fancy
تدارى	يِتدارى	6	to protect oneself, take selter
تدافَش	يِتدافَش	6	to push one another, jostle one another
تدايَق	يِتدايَق	6	to be disturbed, be bothered, be troubled, get irritated, get upset, get annoyed
تدايَن	يِتدايَن	6	to borrow (money), get into debt
تدَبَّر	يِتدَبَّر	5	to sort itself out, be taken care of
تدَخرَج	يِتدَخرَج		to roll down, roll downhill (intrans)
تدَخَّل	يِتدَخَّل	5	to interfere, meddle
تدَرَّع	يِتدَرَّع	5	to burp (intrans)
تدَروَخ	يِتدَروَخ		to stagger, totter
تدَشّى	يِتدَشّى	5	to belch
تدَعتَر	يِتدَعتَر		to trip, trip up (intrans)
تدَفّى	يِتدَفّى	5	to warm up (intrans), get warm, warm oneself
تدَلَّع	يِتدَلَّع	5	to become spoilt, to behave like a spoilt child, to be demanding
تدَلَّل	يِتدَلَّل	5	to demand attention, indulge oneself
تدَهوَر	يِتدَهوَر		to roll down, roll downhill, to deteriorate
تدَوَّش	يِتدَوَّش	5	to shower, take a shower
تدَيَّن	يِتدَيَّن	5	to be religious, be observant
تْذَكَّر	يتْذَكَّر		to recall
تذَمَّر	يِتذَمَّر	5	to complain
ترَئَّس	يِترَئَّس	5	to head, be in charge, to chair
تراجَع	يِتراجَع	6	to retreat, withdraw, to drop, change one's mind about, revoke, go back on
تراخى	يِتراخى	6	to get sloppy, become lax
تراقَب	يِتراقَب	6	to be under supervision, be censored
تراهَن	يِتراهَن	6	to bet, wager
ترَبَّع	يِترَبَّع	5	to sit cross-legged
ترَبّى	يِترَبّى	5	to grow up, be brought up, be educated, be raised
تْرَبّى/رِبي	يتْرَبَّى/يرْبي		to be brought up
تَرجَم	يتَرجَم		to translate
تَرْجَم	يتَرْجِم		to translate
ترَجّى	يِترَجّى	5	to look forward to, hopefor, ask for, to beg, plead, implore
ترَدَّد	يِترَدَّد	5	to hesitate, to visit often, pay repeated visits
ترَسَّب	يِترَسَّب	5	to settle, accumulate, build up (all intrans)
ترَصَّد	يِترَصَّد	5	to lie in wait, set an ambush
ترَغرَغ	يِترَغرَغ		to gargle
ترَقّى	يِترَقّى	5	to be promoted, recieve a promotion, climb the social ladder
تَرَك	يِترَك	1	to leave, stop
ترَمَّل	يِترَمَّل	5	to be widowed
ترَنَّح	يِترَنَّح	5	to stagger
ترَيَّح	يِترَيَّح	5	to relax, rest, to feel relieved, be relieved (of worry, problems)
تزاعَل	يِتزعَل	6	to be angry with each other
تزَحلَق	يِتزَخلَق		to slide, slip
تزَعزَع	يِتزَعزَع		to be shaken, be undermined
تزَكَّر	يِتزَكَّر	5	to remember, recall
تزَلَّج	يِتزَلَّج	5	to slide along, to skate, to ski
تزَوَّج	يِتزَوَّج	5	to get married, marry (intrans)
تسابَق	يِتسابَق	6	to compete, have a race
تساعَد	يِتساعَد	6	to help one another
تساهَل	يِتساهَل	6	to be lenient, be flexible, be forebearing
تسَبَّب	يِتسَبَّب	5	to be caused, to result, to earn a small amount of money, make a few bucks
تسَحسَل	يتسَحسَل		to slide (down a slide)
تسَخَّن	يِتسَخَّن	5	to heat up (intrans), be heated
تسَدَّق	يِتسَدَّق	5	to be credible, be believable
تسَرَّب	يِتسَرَّب	5	to run out, flow off, to sneak out
تسَرَّح	يِتسَرَّح	5	to get demobilized
تسَرَّع	يِتسَرَّع	5	to hurry, be in a hurry, go too fast, be too hasty
تسَطَّح	يِتسَطَّح	5	to lie down
تسَكَّر	يِتسَكَّر	5	to close (intrans)
تسَلسَل	يِتسَلسَل		to be continuous, be in order, form a series
تسَلَّط	يِتسَلَّط	5	to take control of, take over, sieze control of, dominate
تسَلّى	يِتسَلّى	5	to pass the time, have fun, have a good time, amuse/entertain/enjoy oneself
تسَمَّم	يِتسَمَّم	5	to get poisoned, get food poisoning
تسَهَّل	يِتسَهَّل	5	to depart, leave, go
تسَهَّل	يِتسَهَّل	5	to become easy, to set out, go
تسَوَّق	يِتسَوَّق	5	to shop, go shopping
تشائَم	يِتشائَم	6	to be pessimistic, expect the worst, to be superstitious, believe something brings bad luck
تشابَه	يِتشابَه	6	to be alike, resemble each other
تشارَط	يِتشارَط	6	to impose conditions on each other, to bet each other
تشاطَر	يِتشاطَر	6	to be a wise guy, be a know it all
تشاوَر	يِتشاوَر	6	to consult, deliberate
تشَبَّع	يِتشَبَّع	5	to become saturated, become full to capacity
تشَتَّت	يِتشَتَّت	5	to disperse, scatter (intrans)
تشَجَّع	يِتشَجَّع	5	to be encouraged, take heart
تشَرَّف	يِتشَرَّف	5	to be honored
تشَرَق	يِتشَردَق		to swallow the wrong way
تشَعَّب	يِتشَعَّب	5	to branch, form, to branch out, branch off
تشَعبَط	يِتشَعبَط		to climb
تشَكّى	يِتشَكّى	5	to complain
تشَنَّج	يِتشَنَّج	5	to be in spasm, have a cramp
تصادَف	يِتصادَف	6	to meet by chance, run into each other, come across each other
تصادَم	يِتصادَم	6	to crash (intrans), crash into each other, collide
تصالَح	يِتصالَح	6	to make peace with one another, reconcile, make up
تصاوَب	يِتصاوَب	6	to get wounded
تصايَح	يِتصايَح	6	to shout/yell at one another
تصَرَّف	يِتصَرَّف	5	to behave, to behave well, to cope, manage
تصَفَّح	يِتصَفَّح	5	to leaf through, flick through (book etc)
تصَلَّب	يِتصَلَّب	5	to harden, become hard
تصَوَّر	يِتصَوَّر	5	to imagine, to get photographed
تصَيَّد	يِتصَيَّد	5	to hunt, to fish
تضارَب	يِتضارَب	6	to hit / strike / slap one another, to run / crash into one another
تضامَن	يِتضامَن	6	to show solidarity
تضَخَّم	يِتضَخَّم	5	to expand, dilate, inflate, swell up
تضَرَّر	يِتضَرَّر	5	to sustain damage, get damaged
تطَبَّش	يِتطَبَّش	5	to crash into each other, collide
تطَرَّف	يِتطَرَّف	5	to become an extremist, be extreme, go to extremes, hold radical views
تطَلَّع	يِتطَلَّع	5	to look, look at
تطَمَّن	يِتطَمَّن	5	to calm down, have one's fears allayed, be reassured, reassure oneself, have one's mind put at rest
تطَوَّر	يِتطَوَّر	5	to develop (intrans)
تطوطَح	يِتطوتَح		to sway, swagger
تطَوَّع	يِتطَوَّع	5	to volunteer
تظاهَر	يِتظاهَر	6	to demonstrate, protest, to feign, pretend
تعابَط	يِتعابَط	6	to behave stupidly, act like an idiot, to hug each other
تعادَل	يِتعادَل	6	to be equal [to], to draw (sports/games)
تعاطى	يِتعَطى	4	to take (medicine, drug)
تعاقَب	يِتعاقَب	6	to be punished (by the legal system)
تعالَج	يِتعالَج	6	to be treated, recieve treatment
تعامَل	يِتعامَل	6	to work with, to treat, deal with, relate to
تعاوَن	يِتعاوَن	6	to cooperate, help one another
تعايَش	يِتعايَش	6	to coexist
تِعَب	يِتعَب	1	to tire, become tired
تِعِب	يتْعَب		to get tired
تعَجَّب	يِتعَجَّب	5	to be surprised, be astonished, be amazed, marvel at, wonder
تعَدَّد	يِتعَدَّد	5	to multiply, proliferate, become numerous
تَعَدّى	يِتعَدّى		to cross, go beyond, overstep, encroach upon, to overtake
تعَربَش	يِتعَربَش		to climb
تعَرَّض	يِتعَرَّض	5	to risk, be exposed to, to pester, harass
تعَرَّف	يِتعَرَّف	5	to get to know, make acquaintance of, to introduce oneself
تعَزَّز	يتعزز	5	to be strengthened, become stronger
تعَشّى	يِتعَشّى	5	to dine, to sup, to have dinner
تعَصَّب	يِتعَصَّب	5	to become extremist, become a fanatic
تعَطَّر	يِتعَطَّر	5	to put on perfume, weat a scent
تعَطَّش	يِتعَطَّش	5	to thirst for, long for
تعَطَّل	يِتعَطَّل	5	to become unemployed, be out of work, to stop working, to stall (engine)
تعَكَّز	يِتعَكَّز	5	to lean, support oneself
تعَلَّق	يِتعَلَّق	5	to cling, hold on to, clutch at, to depend, to become emotionally attached
تعَلَّم	يِتعَلَّم	5	to learn
تعَمَّد	يِتعّمَّد	5	to be baptized
تعَمَّق	يِتعَمَّق	5	to go into (somthing) deeply
تعَهَّد	يِتعَهَّد	5	to commit oneself, pledge, undertake, promise
تعَوَّد	يِتعَوَّد	5	to get used to, become accustomed to
تعَوَّق	يِتعَوَّق	5	to be delayed, be detained, get held up
تعَيَّن	يِتعَيَّن	5	to be appointed, get nominated
تغازَل	يِتغازَل	6	to flirt with each other
تغاشَم	يِتغاشَم	6	to pretend to be inexperienced/ignorant
تغامَز	يِتغامَ	6	to exchange (knowing) winks, wink at one another
تغَدّى	يِتغَدّى	5	to have lunch
تغَرَّق	يِتغَرَّق	5	to get soaking wet
تغَسَّل	يِتغَسَّل	5	to wash oneself, to bathe, take a bathshower
تغَشَّم	يِتغَشَّم	5	to fail to recognize
تغَلَّب	يِتغَلَّب	5	to find difficult, have a hard time, to overcome
تغَيَّر	يِتغَيَّر	5	to change (intrans)
تَفّ	يتَفّ	1	to spit, to splutter, spray (others) with saliva
تفاجَئ	يِتفاجَئ	6	to be surprised, be taken by surprise
تفارَق	يِتفارَق	6	to part, split up
تفاهَم	يِتفاهَم	6	to understand one another, to reach an understanding
تفاوَض	يِتفاوَض	6	to negotiate
تَفتَف	يتَفتَف	[4]	to sputter, splutter
تفَتفَت	يتفَتفَت		to crumble
تفَرَّج	يِتفَرَّج	5	to watch, look at, observe (nature, TV, pictures, etc)
تفَرَّغ	يِتفَرَّغ	5	to free oneself, make time for, to be emptied out
تفَرَّق	يِتفَرَّق	5	to scatter, disperse, split up
تفَركَش	يِتفَركَش		to trip (up) (intrans), run into, bang into
تفَرهَد	يِتفَرهَد		to get out of constricting clothes, to change into something more comfortable
تفَشفَش	يِتفَشفَش		to vent one's emotions, take one's emotions out on someone else
تفَشّى	يِتفَشّى		to spread (intrans)
تفَضَّل	يِتفَضَّل	5	to be so kind (as to)
تفَعفَل	يِتفَعفَل		to convulse, have convulsions, flap around
تفَكفَك	يتفَكفَك		to become untied, come undone, fall apart
تفَلسَف	يِتفَلسَف		to philosophize, be pedantic, split hairs
تفَوَّق	يِتفَوَّق	5	to excell
تقابَل	يِتقابَل	6	to meet (intrans), meet with, to be recieved by
تقاتَل	يِتقاتَل	6	to hit one another, to fight
تقارَب	يِتقارَب	6	to become close, draw closer to one another
تْقارَب	يتْقارَب		to approach
تقاسَم	يِتقاسَم	6	to share, divide up
تقاصَص	يِتقاصَص	6	to be punished (home/scool)
تقاعَد	يِتقاعَد	6	to retire (from work)
تَقتَق	يتَقتَق	[4]	to tick
تقَدَّم	يِتقَدَّم	5	to move forward, advance, progress
تْقَدَّم	يتْقَدَّم		to advance
تقَشَّف	يِتقَشَّف	5	to be an ascetic, lead an ascetic life
تَقَّل	يتَقَّل	2	to make heavy, cause to be heavy
تقَلَّب	يِتقَلَّب	5	to turn over repeatedly (intrans), to fluctuate, be changeable, be unpredictable
تقَلَّص	يِتقَلَّص	5	to shrink, contract, get smaller
تقَوّى	يِتقَوّى		to get stronger
تَكّ	يتُكّ	1	to shake, shake off, shake out, fall out (hair), be shed (hair)
تكاتَب	يِتكاتَب	6	to correspond, write to each other
تكاسَل	يِتكاسَل	6	to be lazy, be idle, be too lazy to (do something)
تكَبَّر	يِتكَبَّر	5	to get bigger, to boast
تكَتَّف	يِتكَتَّف	5	to fold one's arms
تكَرَّر	يِتكَرَّر	5	to recur, happen again, be repeated
تكَرسَح	يِتكَرسَح		to become disabled, be left disabled
تكَرفَت	يِتكَرفَت		to fall and roll over
تكَسلَن	يِتكَسلَن		to be lazy, be idle, be too lazy to (do something) 2
تكَلَّم	يِتكَلَّم	5	to speak (more formal)
تكَهرَب	يِتكَهرَب		to get electrocuted
تكَوَّر	يِتكَوَّر	5	to become round, become spherical, to curl up
تكَوَّن	يِتكَوَّن	5	to pile up, accumulate
تكَيَّف	يِتكَيَّف	5	to adjust, adapt oneself
تلاعَب	يِتلاعَب	6	to cheat, get up to funny business (esp. prices)
تلاقى	يِتلاقى		to meet each other, run into each other
تلَبَّك	يِتلَبَّك	5	to become disorganized, get confused, be at a loss, not know what to do/think
تلَحلَح	يِتلَحلَح		to flourish, succeed
تلَخَّص	يِتلَخَّص	5	to be summed up
تلَفَّت	يِتلَفَّت	5	to turn around, swing round, look round
تَلْفَن	يتَلْفِن		to phone
تلَقَّح	يِتلَقَّح	5	to lie down
تلَقلَق	يِتلَقلَق		to wobble
تلَقّى	يِتلَقّى		to get, recieve
تلَوّى	يِتلَوّى		to be doubled up, to writhe
تَلى	يَتلو	1	to read aloud, recite
تَمّ	يتَمّ	1	to stay, remain, be left, to continue, go on
تَمّ	يتِمّ	1	to be finished, complete, to take place, be carried out, get done
تمالَك	يِتمالَك	6	to restrain oneself, hold oneself back
تمايَع	يِتمايَع	6	to liquify, melt, behave flirtatiously, become flabby
تمَتَّع	يِتمَتَّع	5	to enjoy
تمَدَّد	يِتمَدَّد	5	to lie down (extend oneself),
تمَرجَح	يِتمَرجَح		to swing (intrans)
تمَرَّد	يِتمَرَّد	5	to rebel, revolt
تمَرَّن	يِتمَرَّن	5	to practise, excersize, train oneself
تمَسخَر	يِتمَسخَر		to laugh at, ridicule, make fun of
تمَسَّك	يِتمَسَّك	5	to hold, cling, stick to
تمَشَّط	يِتمَشَّط	5	to comb one's hair
تمَكَّن	يِتمَكَّن	5	to be able, be capable
تمَلَّق	يِتمَلَّق	5	to flatter, to suck up to, brown nose
تمَلَّك	يِتمَلَّك	5	to take possession of, sieze, usurp, appropriate
تَمَّم	يتَمَّم	2	to complete, carry out, execute, accomplish
تمَنّى	يِتمَنّى	5	to wish, hope
تمَوَّن	يِتمَوَّن	5	to stock up with provisions/supplies
تمَيَّز	يِتمَيَّز	5	to distinguish oneself, stand out, be special, be different
تنازَل	يِتنازَل	6	to give up, concede, drop
تناسَب	يِتناسَب	6	to be(come) related by marriage
تناسى	يِتناسى		to pretend to forget
تناطَح	يِتناطَح	6	to butt each other
تناقَض	يِتناقَض	6	to contradict one another, be contradictory
تناوَب	يِتناوَب	6	to take turns, spell each other, work in shifts
تناوَل	يِتناوَل	6	to go to communion (christianity)
تنَبَّئ	يِنَبَّ	5	to prophesy, fortell
تنَجَّس	يِتنَجَّس	5	to become ritually impure (eg by touching a dog)
تنَحنَح	يِتنَحنَح		to clear one's throat (to express disagreement or sarcasm), to make one's presence felt
تنَشَّف	يِتنَشَّف	5	to dry
تنَفَّذ	يِتنَفَّذ	5	to be implemented, be executed, be carried out, be kept
تنَفَّس	يِتنَفَّس	5	to breathe
تنَكَّر	يِتنَكَّر	5	to be estranged, be alienated, to dress up, disguise yourself
تَنى	يِتني	1	to fold
تهابَل	يِتهابَل	6	to pretend to be stupid, to act stupidly
تهاوَن	يِتهاوَن	6	to treat lightly, attach little importance to
تهَرَّب	يِتهَرَّب	5	to run away, escape, avoid, evade, shirk
تهَزَّر	يِتهَوَّر	5	to endanger oneself, take risks, behave recklessly
تهَوّى	يِتهَوّى	5	to get aired out
تْهَيَّأ	يِتْهَيَّأ	5	to be drawn up
تهَيَّج	يِتهَيَّج	5	to be in a ferment, be agitated, to be stormy, be rough
توافَق	يِتوافَق	6	to fit in, tally, make sense with
توانى	يِتوانى		to take one's time (over somthing), to slack off
توَتَّر	يِتوَتَّر	5	to tense up, become tense
تَوَّج	يتَوَّج	2	to crown
توَجَّع	يِتوَجَّع	5	to suffer pain, be in pain
توَجَّه	يِتوَجَّه	5	to turn towards, to apply to, address, speak to
توَحَّل	يِتوَحَّل	5	to get muddy, get covered in mud
توَرَّت	يِتوَرَّت	5	to inherit, be inherited
تَوَرَّط	يِوَرَّط		to get mixed up (in), get into trouble
توَرَّم	يِتوَرَّم	5	to swell (intrans), swell up
توَزَّع	يِتوَزَّع	5	to be divided, be distributed
توَسَّخ	يِتوَسَّخ	5	to get dirty, become soiled
توَسَّع	يِتوَسَّع	5	to expand, extend, spread, spread out (intrans)
توَشوَش	يتوَشوَش		to whisper together, talk in whispers
توَصَّل	يِتوَصَّل	5	to arrive at, reach, attain, to achieve
توَضَّح	يِتوَضَّح	5	to become clearer, be clarified, get cleared up
توَضّى	يِتوَضّى	5	to wash (intrans), perform ritual ablution for prayer
توَفَّر	يِتوَفَّر	5	to abound, be numerous, be abundant
توَفّى	يِتوَفّى	5	to die, pass away
توَقَّع	يِتوَقَّع	5	to expect
توَقَّف	يِتوَقَّف	5	to stop, halt, cease (intrans), be arrested, to depend
توَكَّل	يِتوَكَّل	5	to have confidence in, trust on, have faith in
توَلَّد	يِتوَلَّد	5	to be born, originate, be created, develop
توَلدَن	يِتوَلدَن		to behave childishly
تيَتَّم	يِتيَتَّم	5	to be orphaned
تَيَّس	يتَيَّس	2	to behave stupidly or foolishly
ثَبَّت	يثَبَّت	2	to fix, make fast, fasten, strengthen, establish, prove, to give tenure
جا/إجا	ييجي/إيجي		to come, to arrive
جاب	يجيب	1	to bring, to give birth
جابى	يِجابي	3	to collect, levy (taxes)
جاز	يجوز	1	to be possible, be permissible, be allowed
جازَف	يجازَف	3	to take risks, to gamble
جازى	يجازي	3	to give someone what they deserve, to reward, to punish
جاع	يجوع	1	to be hungry, to starve
جاكَر	يجاكَر	3	to contradict deliberately, to annoy, to tease
جامَع	يجامَع	3	to have sex with
جاوَب	يجاوَب	3	to answer
جَبَر	يُجبُر	1	to force, compell
جَبصَن	يجَبصَن		to put in plaster
جَبَل	يِجبَل	1	to mix (concrete)
جَحَر	يِجحَر	1	to look at angrily/severely
جَخّ	يجُخّ	1	to be clothes-conscious, to show off, be a showoff
جَدّ	يجَدّ	1	to pick (olives)
جَدَّد	يجَدَّد	2	to renew, redo
جَدَّر	يجَدَّر	2	to catch smallpox
جَدَّف	يجَدَّف	2	to row (a boat)
جَدَّل	يجَدَّل	2	to plait, to braid
جَذَب	يِجذَب	1	to attract
جَرّ	يجُرّ	1	to drag, to pull
جَرَّب	يجَرَّب	2	to try, to test
جَرَح	يِجرَح	1	to hurt, wound, injure, to offend
جَرَّد	يجَرَّد	2	to strip (trans), divest of
جَرَش	يُجرُش	1	to grind
جَرَف	يِجرَف	1	to sweep away, carry away
جَرى	يِجري	1	to run, to flow, to happen, occur
جَزّ	يجَزّ	1	to shear
جَسَّر	يجَسَّر	2	to bridge
جَعَّر	يجَعَّر	2	to moo
جَعَل	يِجعَل	1	to cause, make [something happen]
جَعلَك	يجَعلَك		to crease, crumple
جَفَّف	يجَفَّف	2	to dry, to drain (trans)
جَفَّل	يجَفَّل	2	to startle, scare, frighten
جَلَب	يِجلَب	1	to attract
جَلَّد	يجَلَّد	2	to bind (book) (originally: to cover with leather)
جَلَّس	يجَلَّس	2	to straighten out
جَلى	يِجلي	1	to wash up, wash (dishes), to polish
جَمَّد	يجَمَّد	2	to freeze, congeal, thicken (trans)
جِمَد	يِجمَد	1	to freeze (intrans), become thick, harden, solidify
جَمرَك	يجَمرَك		to clear through customs
جَمَع	يِجمَع	1	to gather, collect, bring together, add (math), pluralize (gram)
جَمَّع	يجَمَّع	2	to gather, assemble, bring together, collect
جَمَل	يِجمَل	1	to gather, assemble into one group, to generalize
جَمَّل	يجَمَّل	2	to make beautiful, make pretty, beautify
جَنَّد	يجَنَّد	2	to draft, conscript, recruit
جَنَّن	يجَنَّن	2	to drive insane, drive mad (irritation, anger, enthusiasm)
جَهَّز	يجَهَّز	2	to prepare, supply, equip
جِهَل	يِجهَل	1	to be ignorant of, to not know
جَوَّز	يجَوَّز	2	to give in marriage, marry off
جَوَّع	يجَوَّع	2	to starve someone
جَيَّب	يجَيَّب	2	to assist at a birth, deliver a baby
حاد	يحيد	1	to deviate, swerve, stray, digress
حارَب	يحارَب	3	to fight (against), combat, wage war on
حاصَر	يحاصَر	3	to besiege
حاضَر	يحاضَر	3	to lecture
حافَظ	يحافَظ	3	to maintain, preserve, keep, observe
حاكى	يحاكي	3	to talk to, address
حام	يحوم	1	to wander around
حاوَل	يحاوَل	3	to try, attempt
حَبّ	يحَبّ	1	to love, like, to want
حَبَّب	يحَبَّب	2	to endear, cause to be liked, make popular
حَبَس	يِحبَس	1	to imprison, lock up, shut up
حِبَل	يِحبَل	1	to get pregnant
حَثّ	يحَثّ	1	to urge, incite
حَجّ	يحَجّ	1	to make a pilgrimage
حَجَّر	يحَجَّر	2	to fur up, become furred (covered in limescale)
حَجَز	يِحجَز	1	to confiscate, impound, sieze, garnish, attach, reserve, keep
حَدّ	يحَدّ	1	to mourn, wear mourning
حَدَث	يَحدُث	1	to happen, occur
حَدَّد	يحَدَّد	2	to define, fix, set, to limit
حَدَف	يِحدَف	1	to swerve, veer, deviate
حَذَّر	يحَذَّر	2	to warn, caution
حَرَث	يُحرُث	1	to plow, cultivate
حِرَد	يِحرَد	1	to be in a temper, to sulk
حَرَّر	يحَرَّر	2	to release, set free, liberate, to edit
حَرَس	يِحرَس	1	to guard, be on guard, keep watch
حَرَّض	يحَرَّض	2	to incite, goad
حَرَف	يِحرَف	1	to deviate, stray
حَرَق	يِحرَق	1	to burn (trans)
حَرَّك	يبحَرَّك	2	to move, set in motion, to vocalize, vowelize, put in vowels
حَركَش	يحَركَش		to provoke, to haress, pester, badger
حَرَم	يِحرَم	1	to deprive, deny, dispossess
حَرَّم	يحَرَّم	2	to declare sacred, to declare unlawful, to forbid
حَزَّر	يحَزَّر	2	to ask a riddle
حِزَر	يِحزَر	1	to guess, to solve a riddle
حِزِر	يحْزَر		to guess, to figure out
حَزَّق	يحَزَّق	2	to hiccup
حَسّ	يحَسّ	1	to feel
حَسَب	يِحسَب	1	to calculate, count, reckon
حَسَّب	يحَسَّب	2	to think (something is something), consider (something/one to be something)
حَسَد	يِحسَد	1	to envy, be envious
حَسَّس	يحَسَّس	2	to cause to feel, give the feeling (that), make people feel (that)
حَسَم	يِحسَم	1	to cut, to decide, to settle
حَسمَس	يحَسمَس		to feel one's way
حَسَّن	يحَسَّن	2	to improve
حَشّر	يُحشُر	2	to push, crowd, squash together
حَشَّش	يحَشَّش	2	to smoke hashish, to use cocaine/heroin (???)
حَشى	يِحشي	1	to stuff, fill
حَصَّب	يحَصَّب	2	to catch measles
حَصَد	يٌحصُد	1	to harvest, reap
حَصَل	يَحصُل	1	to happen, occur, to obtain, to get (على) something
حِصَل	يِحصَل	1	to obtain, get
حَصَّن	يحَصَّن	2	to fortify, entrench
حَصّى	يِحصّي	2	to count, to gather statistics
حَضَر	يِحضَر	1	to attend, be present
حَضَّر	يحَضَّر	2	to prepare
حَطّ	يحُطّ	1	to put, place
حَطَّم	يحَطَّم	2	to break, smash
حَفَر	يُحفُر	1	to dig, excavate, carve
حِفَظ	يِحفَظ	1	to guard, preserve, take care, to memorize, have memorized
حِفْظ	يحْفَظ		to guard, to preserve, to memorize
حَقّ	يحَقّ	1	to have the right to, to be entitled to, to deserve (lit. to be due to)
حَقَد	يِحقَد	1	to resent, feel resentful, bear a grudge
حَقَّق	يحَقَّق	2	to realize, fulfil, to check, verify, to investigate, interrogate
حَقَن	يُحقُن	1	to inject
حَكّ	يحَكّ	1	to scratch, scrape, rub
حَكَم	يُحكُم	1	to judge, sentence, to rule
حَكى	يِحكي	1	to talk, speak, tell, say
حَكَى	يحْكي		to speak, to tell
حَلّ	يحَلّ	1	to solve, release, undo, untie, untether, to dissolve, dismantle, break up, to finish, to occupy (a place), to descend, to fade, run (in the wash)
حَلَب	يِحلَب	1	to milk
حَلَّس	يحَلَّس	2	to stroke, caress
حَلَف	يِحلَف	1	to swear, take an oath
حَلَق	يِحلَق	1	to get a haircut, to get a shave
حَلَّق	يحَلَّق	2	to hover
حَلَّل	يحَلَّل	2	to analyze
حِلَم	يِحلَم	1	to dream
حَلَّى	يحَلّي		to sweeten
حَمَّس	يحَمَّس	2	to cheer on, arouse enthusiasm
حَمَّص	يحَمَّص	2	to roast (coffee, seeds, etc)
حَمّص	يحَمِّص		to roast, to toast, to fry
حَمَّض	يحَمَّض	2	to turn sour, to develop (film)
حَمَّق	يحَمَّق	2	to anger, make angry
حِمَق	يِحمَق	1	to lose one's temper, to become angry
حَمَل	يِحمَل	1	to carry, bear, to take time, last (Jerusalem)
حَمَّل	يحَمَّل	2	to load, cause to bear
حَمَّم	يحَمَّم	2	to bathe, give a bath to
حَمى	يِحمي	1	to defend, guard, protect
حَمّى	يحَمّي	2	to warm something up
حِمي	يِحمى	1	to become hot, heat up (intrans)
